Addis Ababa,012 XXX XXXX
Adi Daero,034 556 XXXX
WLL-Mekele,034 559 XXXX
Adi Gudem,034 660 XXXX
Endabaguna,034 661 XXXX
Mai-Tebri,034 662 XXXX
Waja,034 663 XXXX
Adwa,034 771 XXXX
Inticho,034 772 XXXX
Edaga-Hamus,034 773 XXXX
Alemata,034 774 XXXX
Axum,034 775 XXXX
Shashamane,046 110 XXXX
Shashamane II,046 111 XXXX
Kofele,046 112 XXXX
Wondo Kela,046 114 XXXX
Butajira,046 115 XXXX
Arsi Negele,046 116 XXXX
Adame Tulu,046 117 XXXX
Kuyera,046 118 XXXX
WLL-Shasemene,046 119 XXXX
Awassa,046 220 XXXX
Awassa II,046 221 XXXX
Wonda Basha,046 222 XXXX
Aleta Wondo,046 224 XXXX
Yirgalem,046 225 XXXX
Leku,046 226 XXXX
Chuko,046 227 XXXX
Dilla,046 331 XXXX
Yirga Chefe,046 332 XXXX
Wonago,046 333 XXXX
Shakiso,046 334 XXXX
Kibre-Mengist,046 335 XXXX
Ziway,046 441 XXXX
Hagere Mariam,046 443 XXXX
Moyale,046 444 XXXX
Negele Borena,046 445 XXXX
Yabello,046 446 XXXX
Dolo Odo,046 449 XXXX
Wolaita Sodo,046 551 XXXX
Durame,046 554 XXXX
Hossena,046 555 XXXX
Alaba Kulito,046 556 XXXX
Enseno,046 558 XXXX
Boditi,046 559 XXXX
Kebado,046 660 XXXX
Werabe,046 771 XXXX
Gidole,046 774 XXXX
Sawla,046 777 XXXX
Arba Minch,046 881 XXXX
Kibet,046 882 XXXX
Buii,046 883 XXXX
Arbaminch-WLL,046 881 XXXX
Areka,046 553 XXXX
Jimma,047 111 XXXX
Jimma II,047 112 XXXX
Serbo,047 113 XXXX
Assendabo,047 114 XXXX
Omonada,047 115 XXXX
Seka,047 116 XXXX
Sekoru,047 117 XXXX
Shebe,047 118 XXXX
WLL-Jimma,047 119 XXXX
Agaro,047 221 XXXX
Ghembo,047 222 XXXX
Dedo,047 223 XXXX
Limmu Genet,047 224 XXXX
Haro,047 225 XXXX
Yebu,047 226 XXXX
Atnago,047 228 XXXX
Ghembe,047 229 XXXX
Bonga,047 331 XXXX
Yayo,047 333 XXXX
Maji,047 334 XXXX
Mizan Teferi,047 335 XXXX
Aman,047 336 XXXX
Chora,047 337 XXXX
Metu,047 441 XXXX
Dembi,047 443 XXXX
Darimu,047 444 XXXX
Bedele,047 445 XXXX
Hurumu,047 446 XXXX
Gambela,047 551 XXXX
Itang,047 552 XXXX
Jikawo,047 553 XXXX
Gore,047 554 XXXX
Tepi,047 556 XXXX
Macha,047 558 XXXX
Abebo,047 559 XXXX
Ghedo,057 227 XXXX
Ejaji,057 550 XXXX
Dembi Dolo,057 555 XXXX
Nekemte,057 661 XXXX
Fincha,057 664 XXXX
Backo,057 665 XXXX
Shambu,057 666 XXXX
Amuru,057 639 XXXX
Arjo,057 667 XXXX
Sire II,057 668 XXXX
Ghimbi,057 771 XXXX
Nedjo,057 774 XXXX
Assosa,057 775 XXXX
Mendi,057 776 XXXX
Billa,057 777 XXXX
Guliso,057 778 XXXX
Begi,057 641 XXXX
Gonder,058 111 XXXX
Azezo,058 114 XXXX
Gilgel Beles,058 119 XXXX
Bahir Dar,058 220 XXXX
